created_on,name,database_name,schema_name,kind,comment,cluster_by,rows,bytes,owner,retention_time,automatic_clustering,change_tracking,is_external
2021-01-03 13:16:34.516 -0800,CSL_DSP_20201226,CSNLSSYNDPI_PROD,PUBLIC,TABLE,,"LINEAR( PRD_ID, POD_ID)",1765015835,14901286912,NIELSENBUY_CS_OD_BE_RW_ROLE,1,OFF,OFF,N
2021-01-03 13:16:34.789 -0800,CSL_FEATURE_20201226,CSNLSSYNDPI_PROD,PUBLIC,TABLE,,"LINEAR( PRD_ID, POD_ID)",7496691094,56511913472,NIELSENBUY_CS_OD_BE_RW_ROLE,1,OFF,OFF,N
2021-01-03 13:13:33.988 -0800,CSL_HRCH_20201226,CSNLSSYNDPI_PROD,PUBLIC,TABLE,,"LINEAR( CSL_KEY, CSL_ID)",3983291,7625728,NIELSENBUY_CS_OD_BE_RW_ROLE,1,OFF,OFF,N
2021-01-03 13:16:36.020 -0800,CSL_LONGSLS_20201226,CSNLSSYNDPI_PROD,PUBLIC,TABLE,,"LINEAR( PRD_ID, POD_ID)",967614105,6606352384,NIELSENBUY_CS_OD_BE_RW_ROLE,1,OFF,OFF,N
2021-01-03 13:14:18.432 -0800,CSL_MAP_20201226,CSNLSSYNDPI_PROD,PUBLIC,TABLE,,LINEAR( CSL_ID),133614,2097152,NIELSENBUY_CS_OD_BE_RW_ROLE,1,OFF,OFF,N
2021-01-03 13:16:35.076 -0800,CSL_PRICE_20201226,CSNLSSYNDPI_PROD,PUBLIC,TABLE,,"LINEAR( PRD_ID, POD_ID)",6136758016,51189669888,NIELSENBUY_CS_OD_BE_RW_ROLE,1,OFF,OFF,N
2021-01-01 03:40:07.450 -0800,FCT_DIM,CSNLSSYNDPI_PROD,PUBLIC,TABLE,,LINEAR(FCT_KEY),5050,315904,NIELSENBUY_CS_OD_BE_RW_ROLE,1,OFF,OFF,N
2021-01-03 13:47:54.139 -0800,MRKT_ACV_INST_20201226,CSNLSSYNDPI_PROD,PUBLIC,TABLE,,"LINEAR( MRKT_KEY, PRD_ID)",15600406,128976384,NIELSENBUY_CS_OD_BE_RW_ROLE,1,OFF,OFF,N
2021-01-03 13:48:30.369 -0800,MRKT_AGG_DISAGG_20201226,CSNLSSYNDPI_PROD,PUBLIC,TABLE,,LINEAR(MRKT_KEY ),10513,1048576,NIELSENBUY_CS_OD_BE_RW_ROLE,1,OFF,OFF,N
2021-01-03 13:55:48.570 -0800,MRKT_AGG_DISAGG_MFR_20201226,CSNLSSYNDPI_PROD,PUBLIC,TABLE,,LINEAR(MRKT_KEY ),10513,1048576,NIELSENBUY_CS_OD_BE_RW_ROLE,1,OFF,OFF,N
2021-01-02 01:26:58.138 -0800,MRKT_DIM,CSNLSSYNDPI_PROD,PUBLIC,TABLE,,LINEAR(MRKT_KEY),1773,159232,NIELSENBUY_CS_OD_BE_RW_ROLE,1,OFF,OFF,N
2021-01-03 13:48:29.712 -0800,MRKT_POD_ACV_INST_AGG_20201226,CSNLSSYNDPI_PROD,PUBLIC,TABLE,,"LINEAR( PRD_ID, POD_ID)",982170,5269504,NIELSENBUY_CS_OD_BE_RW_ROLE,1,OFF,OFF,N
2021-01-03 13:54:29.710 -0800,MRKT_POD_ACV_INST_DISAGG_20201226,CSNLSSYNDPI_PROD,PUBLIC,TABLE,,"LINEAR( PRD_ID, POD_ID)",2764618102,46129393664,NIELSENBUY_CS_OD_BE_RW_ROLE,1,OFF,OFF,N
2021-01-03 13:52:29.402 -0800,MRKT_POD_ACV_INST_DISAGG_DEFUNCT_CS_20201226,CSNLSSYNDPI_PROD,PUBLIC,TABLE,,,188003,1001472,NIELSENBUY_CS_OD_BE_RW_ROLE,1,OFF,OFF,N
2021-01-03 13:49:53.841 -0800,MRKT_POD_AGG_RLTD_20201226,CSNLSSYNDPI_PROD,PUBLIC,TABLE,,LINEAR( POD_ID),12155684,31781888,NIELSENBUY_CS_OD_BE_RW_ROLE,1,OFF,OFF,N
2021-01-03 13:55:49.158 -0800,MRKT_POD_AGG_RLTD_MFR_20201226,CSNLSSYNDPI_PROD,PUBLIC,TABLE,,LINEAR( POD_ID),12155684,31830528,NIELSENBUY_CS_OD_BE_RW_ROLE,1,OFF,OFF,N
2021-01-03 13:54:29.999 -0800,POD_ACV_INST_20201226,CSNLSSYNDPI_PROD,PUBLIC,TABLE,,"LINEAR(PRD_ID, POD_ID)",33127713,182704640,NIELSENBUY_CS_OD_BE_RW_ROLE,1,OFF,OFF,N
2021-01-03 13:52:18.987 -0800,POD_ACV_INST_CLSTR_DEFUNCT_CS_20201226,CSNLSSYNDPI_PROD,PUBLIC,TABLE,,"LINEAR(closed_pod_id,active_pod_id)",1024845,4878848,NIELSENBUY_CS_OD_BE_RW_ROLE,1,OFF,OFF,N
2021-01-03 13:51:35.296 -0800,POD_ACV_INST_DEFUNCT_CS_20201226,CSNLSSYNDPI_PROD,PUBLIC,TABLE,,"LINEAR(closed_pod_id,active_pod_id)",12274,59392,NIELSENBUY_CS_OD_BE_RW_ROLE,1,OFF,OFF,N
2021-01-02 23:35:06.907 -0800,PRDC_DIM,CSNLSSYNDPI_PROD,PUBLIC,TABLE,,LINEAR(PRDC_KEY),3928883,1426055168,NIELSENBUY_CS_OD_BE_RW_ROLE,1,OFF,OFF,N
2021-01-01 03:26:33.780 -0800,PRD_DIM,CSNLSSYNDPI_PROD,PUBLIC,TABLE,,LINEAR(PRD_KEY),133928,4800512,NIELSENBUY_CS_OD_BE_RW_ROLE,1,OFF,OFF,N
2021-01-02 23:40:54.156 -0800,SBTTLRLTD,CSNLSSYNDPI_PROD,PUBLIC,TABLE,,,3940752,41381376,NIELSENBUY_CS_OD_BE_RW_ROLE,1,OFF,OFF,N
2021-01-03 13:57:19.926 -0800,TRND_SBST_AGG_20201226,CSNLSSYNDPI_PROD,PUBLIC,TABLE,,"LINEAR( CSL_ID,PRD_ID,POD_ID,PRDC_KEY )",512632327807,15075338644992,NIELSENBUY_CS_OD_BE_RW_ROLE,1,OFF,OFF,N
2021-01-03 12:18:44.875 -0800,TRND_SBST_DISAGG_20201226,CSNLSSYNDPI_PROD,PUBLIC,TABLE,,"LINEAR( PRD_ID,POD_ID,CSL_ID )",398392143233,6306046892544,NIELSENBUY_CS_OD_BE_RW_ROLE,1,OFF,OFF,N
2021-01-03 13:16:40.394 -0800,TRND_SBST_DISAGG_REACH_20201226,CSNLSSYNDPI_PROD,PUBLIC,TABLE,,"LINEAR( PRD_ID,POD_ID,CSL_ID)",236060829123,1870794902016,NIELSENBUY_CS_OD_BE_RW_ROLE,1,OFF,OFF,N
2021-01-02 21:15:49.275 -0800,CSSYNDPRDC_DB_DT_SRC_PRTY_20201226_SYN,CS_OD_MSTR_US_PROD,PUBLIC,TABLE,,,70230,332800,NIELSENBUY_CS_OD_BE_RW_ROLE,1,OFF,OFF,N
2021-01-01 03:04:32.020 -0800,CSSYNPRD_PRD_DIM_CSNLSSYNDPI_PROD_20201226_RPT,CS_OD_MSTR_US_PROD,PUBLIC,TABLE,,LINEAR(PRD_KEY),443329,17843200,NIELSENBUY_CS_OD_BE_RW_ROLE,1,OFF,OFF,N
2021-01-01 03:04:41.040 -0800,CSSYNPRD_PRD_DIM_PREV_CSNLSSYNDPI_PROD_20201226_RPT,CS_OD_MSTR_US_PROD,PUBLIC,TABLE,,,370099,8000512,NIELSENBUY_CS_OD_BE_RW_ROLE,1,OFF,OFF,N



